MOTS_ID  |MOTS_LUXEMBURGISCH  |MOTS_LUXEMBURGISCH_WSC  |MOTS_FRENCH  |MOTS_FRENCH_WSC  |MOTS_GERMAN  |MOTS_GERMAN_WSC  |MOTS_ENGLISH  |MOTS_ENGLISH_WSC  |MOTS_SPAIN  |MOTS_SPAIN_WSC  |MOTS_ITALIAN  |MOTS_ITALIAN_WSC  |MOTS_PORTUGUESE  |MOTS_PORTUGUESE_WSC  |INFINITIF_INDEX1  |INFINITIF_INDEX2  
1|a jo!|a jo!|ah oui!|ah oui!|aber ja!|aber ja!|but yes!|but yes!|que si !|que si !|ma si!, ah si!|ma si!, ah si!|mas sim !|mas sim !|null|null
2|A, Aen|a, aen|oeil|oeil|Auge|auge|eye|eye|ojo|ojo|occhio|occhio|olho|olho|null|null
3|A, op d'A drécken=bedupsen=bedréien=iwwert d'Ouer haen=fuddelen, en dréckt op d'A|a, op d'a drecken=bedupsen=bedreien=iwwert d'ouer haen=fuddelen, en dreckt op d'a|tromper, frauder, arnaquer|tromper, frauder, arnaquer|betrügen, überlisten|betrugen, uberlisten|to cheat, to deceive|to cheat, to deceive|engañar|engañar|ingannare|ingannare|enganar|enganar|null|null
4|aacht|aacht|huit|huit|acht|acht|eight|eight|ocho|ocho|otto|otto|oito|oito|null|null
5|Aachten, aachten|aachten, aachten|le huitième|le huitieme|der Achte, achte|der achte, achte|the eighth|the eighth|el octavo|el octavo|ottavo|ottavo|oitavo|oitavo|null|null
6|Aangel=Fëschrutt, Aangelen|aangel=feschrutt, aangelen|canne à pêche|canne a peche|Angel|angel|fishing­rod|fishing­rod|caña de pescar|caña de pescar|canna da pesca|canna da pesca|cana de pesca|cana de pesca|null|null
7|Aangelkreepchen, Aangelkreepercher|aangelkreepchen, aangelkreepercher|hameçon|hameçon|Angelhaken|angelhaken|hook|hook|anzuelo|anzuelo|amo|amo|anzol|anzol|null|null
8|Aarbecht, Aarbechten|aarbecht, aarbechten|travail|travail|Arbeit|arbeit|work|work|trabajo|trabajo|lavoro|lavoro|trabalho|trabalho|null|null
9|Aarbechter, Aarbechter|aarbechter, aarbechter|ouvrier|ouvrier|Arbeiter|arbeiter|worker|worker|obrero|obrero|operaio|operaio|operário|operario|null|null
10|Aarbechtskolleg, Aarbechtskollegen|aarbechtskolleg, aarbechtskollegen|compagnon de travail|compagnon de travail|Arbeitskollege|arbeitskollege|colleague|colleague|compañero de trabajo|compañero de trabajo|compagno di lavoro, collega|compagno di lavoro, collega|companheiro de trabalho|companheiro de trabalho|null|null
11|Aarbechtslosegkeet=Chômage|aarbechtslosegkeet=chomage|chômage|chomage|Arbeitslosigkeit|arbeitslosigkeit|unemployment|unemployment|paro, desempleo|paro, desempleo|disoccupazione|disoccupazione|desemprego|desemprego|null|null
12|Aarbechtslosen=Chômeur, Aarbechtslos|aarbechtslosen=chomeur, aarbechtslos|chômeur|chomeur|Arbeitslose|arbeitslose|unemployed person|unemployed person|parado|parado|disoccupato|disoccupato|desempregado|desempregado|null|null
13|Aarbechtsministär|aarbechtsministar|ministère du Travail|ministere du travail|Arbeitsministerium|arbeitsministerium|Ministry of Employment|ministry of employment|ministerio de trabajo|ministerio de trabajo|Ministero del Lavoro|ministero del lavoro|Ministério do Trabalho|ministerio do trabalho|null|null
14|Aarbechtsplaz, Aarbechtsplazen|aarbechtsplaz, aarbechtsplazen|emploi|emploi|Anstellung, Arbeitsplatz|anstellung, arbeitsplatz|employment|employment|empleo|empleo|posto di lavoro|posto di lavoro|posto de trabalho|posto de trabalho|null|null
15|Aarbechtszäit, Aarbechtszäiten|aarbechtszait, aarbechtszaiten|temps de travail|temps de travail|Arbeitszeit|arbeitszeit|working hours|working hours|tiempo de trabajo|tiempo de trabajo|tempo di lavoro|tempo di lavoro|tempo de trabalho|tempo de trabalho|null|null
16|Aarm, ënneschten Deel vum Aarm|aarm, enneschten deel vum aarm|avant-bras|avant-bras|Unterarm|unterarm|fore-arm|fore-arm|antebrazo|antebrazo|avambraccio|avambraccio|antebraço|antebraço|null|null
17|aarm=arem|aarm=arem|pauvre|pauvre|arm|arm|poor|poor|pobre|pobre|povero|povero|pobre|pobre|null|null
18|Aarm=Arem, Äerm|aarm=arem, aerm|bras|bras|Arm|arm|arm|arm|brazo|brazo|braccio|braccio|braço|braço|null|null
19|Aarmbandauer, Aarmbandaueren|aarmbandauer, aarmbandaueren|montre­bracelet|montre­bracelet|Armbanduhr|armbanduhr|wristwatch|wristwatch|reloj de pulsera|reloj de pulsera|orologio da polso|orologio da polso|relógio de pulso|relogio de pulso|null|null
20|aarmséileg=daierlech=miserabel=schappeg|aarmseileg=daierlech=miserabel=schappeg|misérable, pitoyable|miserable, pitoyable|armselig, dürftig|armselig, durftig|miserable|miserable|miserable|miserable|misero, triste|misero, triste|miserável, desgraçado|miseravel, desgraçado|null|null
21|Aarmut|aarmut|pauvreté|pauvrete|Armut|armut|poverty|poverty|pobreza|pobreza|povertà|poverta|pobreza|pobreza|null|null
22|Aart a Weis=Fassong=Manéier, Aart a Weisen|aart a weis=fassong=maneier, aart a weisen|manière, façon|maniere, façon|Art und Weise|art und weise|manner, way|manner, way|manera|manera|maniera, modo|maniera, modo|maneira|maneira|null|null
23|Aart=Zort=Genre, Aarten|aart=zort=genre, aarten|sorte, genre|sorte, genre|Art, Sorte|art, sorte|kind, sort|kind, sort|género, especie, clase|genero, especie, clase|specie, genere, sorta|specie, genere, sorta|género, espécie|genero, especie|null|null
25|Aascht, Äscht|aascht, ascht|branche|branche|Ast|ast|branch, bough|branch, bough|rama|rama|ramo|ramo|ramo|ramo|null|null
244|an|an|et|et|und|und|and|and|y|y|e|e|e|e|null|null
24|aartlech=gentil=häerzeg|aartlech=gentil=haerzeg|gentil, mignon, adorable|gentil, mignon, adorable|lieb, nett, niedlich, herzig|lieb, nett, niedlich, herzig|nice, sweet, lovely|nice, sweet, lovely|lindo, amable|lindo, amable|carino, gentile, caloroso|carino, gentile, caloroso|amável, gentil, gracioso, caloroso|amavel, gentil, gracioso, caloroso|null|null
26|Aaxt, Aaxten|aaxt, aaxten|hache|hache|Axt|axt|axe|axe|hacha|hacha|ascia, mannaia|ascia, mannaia|machado|machado|null|null
27|Abat-jour=Luuchteschierm, Abat­jouren|abat-jour=luuchteschierm, abat­jouren|abat­jour|abat­jour|Lampenschirm|lampenschirm|lampshade|lampshade|pantalla de lámpara|pantalla de lampara|paralume|paralume|abajur, quebra­luz|abajur, quebra­luz|null|null
28|Abauschaf=Placard=Wandschaf, Abauschief|abauschaf=placard=wandschaf, abauschief|placard|placard|Wandschrank, Einbauschrank|wandschrank, einbauschrank|wall cupboard|wall cupboard|armario empotrado|armario empotrado|armadio a muro|armadio a muro|armário de parede|armario de parede|null|null
29|Abberzuel=Geschwätz=Geklaaps=Getoz=Getéins|abberzuel=geschwatz=geklaaps=getoz=geteins|bavardage, commérage, baratin|bavardage, commerage, baratin|Geschwätz|geschwatz|twaddle, gossip|twaddle, gossip|habladuría|habladuria|chiacchiera|chiacchiera|tagarelice|tagarelice|null|null
30|Abc|abc|alphabet|alphabet|Alphabet|alphabet|alphabet|alphabet|abecedario|abecedario|abbecedario|abbecedario|alfabeto|alfabeto|null|null
31|abee!|abee!|eh bien!|eh bien!|nun aber!|nun aber!|but!, what now!|but!, what now!|pero!, vaya!|pero!, vaya!|ma!|ma!|mas!|mas!|null|null
32|abegräifen=aschléissen=enthalen, e begräift an|abegraifen=aschleissen=enthalen, e begraift an|contenir, inclure|contenir, inclure|enthalten, einschließen|enthalten, einschließen|to include|to include|incluir, comprender|incluir, comprender|comprendere, includere|comprendere, includere|incluir, compreender|incluir, compreender|null|null
33|Abenteuer=Aventure|abenteuer=aventure|aventure|aventure|Abenteuer|abenteuer|adventure|adventure|aventura|aventura|avventura|avventura|aventura|aventura|null|null
48|absorbéieren=opsuckelen, en absorbéiert|absorbeieren=opsuckelen, en absorbeiert|absorber|absorber|aufsaugen|aufsaugen|to absorb|to absorb|absorber|absorber|risucchiare|risucchiare|absorver|absorver|absorbéieren|null
35|Aberuffung=Convocatioun, Aberuffungen|aberuffung=convocatioun, aberuffungen|convocation|convocation|Einberufung|einberufung|notification|notification|convocatoria|convocatoria|convocazione|convocazione|convocação|convocação|null|null
37|abiméieren=beschiedegen=futtiman=kapott man, en abiméiert|abimeieren=beschiedegen=futtiman=kapott man, en abimeiert|abîmer, endommager|abimer, endommager|beschädigen|beschadigen|to damage, to spoil|to damage, to spoil|estropear, dañar|estropear, dañar|rovinare, sciupare|rovinare, sciupare|estragar|estragar|abiméieren|null
38|abiméiert=futti=vreckt=kapott=gebrach=defekt=beschiedegt|abimeiert=futti=vreckt=kapott=gebrach=defekt=beschiedegt|cassé, déchiré, défectueux|casse, dechire, defectueux|kaputt, defekt|kaputt, defekt|broken, faulty, defective|broken, faulty, defective|roto, defectuoso|roto, defectuoso|rotto, difettoso|rotto, difettoso|estragado, partido, defeituoso|estragado, partido, defeituoso|null|null
39|Ablack, am Ablack=elo=lo=zurzäit=dëse Moment=grad elo|ablack, am ablack=elo=lo=zurzait=dese moment=grad elo|maintenant, actuellement|maintenant, actuellement|jetzt, nun, zur Zeit|jetzt, nun, zur zeit|now, at present|now, at present|ahora mismo, actualmente|ahora mismo, actualmente|ora, adesso|ora, adesso|agora, actualmente|agora, actualmente|null|null
40|Ablack=Moment=Ament|ablack=moment=ament|moment, instant|moment, instant|Augenblick|augenblick|moment|moment|momento|momento|momento, attimo|momento, attimo|momento, instante|momento, instante|null|null
41|Abrëll|abrell|avril|avril|April|april|April|april|abril|abril|aprile|aprile|Abril|abril|null|null
42|Abroch, Abréch|abroch, abrech|cambriolage|cambriolage|Einbruch|einbruch|burglary|burglary|robo|robo|furto con scasso|furto con scasso|roubo|roubo|null|null
43|abrupt=géi|abrupt=gei|raide, abrupt|raide, abrupt|steil|steil|steep|steep|empinado|empinado|ripido|ripido|alcantilado, abrupto|alcantilado, abrupto|null|null
44|abscheilech=gräisslech=ellen|abscheilech=graisslech=ellen|abominable, affreux|abominable, affreux|scheußlich, schrecklich|scheußlich, schrecklich|awful|awful|abominable, horrendo|abominable, horrendo|abominevole, orribile|abominevole, orribile|abominável, horrível|abominavel, horrivel|null|null
45|Absender=Expediteur, Absenderen|absender=expediteur, absenderen|expéditeur|expediteur|Absender|absender|sender|sender|remitente|remitente|mittente|mittente|expedidor|expedidor|null|null
51|abuséieren=ausnotzen=mëssbrauchen, en abuséiert|abuseieren=ausnotzen=messbrauchen, en abuseiert|abuser|abuser|ausnutzen, missbrauchen|ausnutzen, missbrauchen|to take advantage of|to take advantage of|abusar|abusar|abusare|abusare|abusar|abusar|abuséieren|null
46|absichtlech=bewosst=express|absichtlech=bewosst=express|exprès, intentionnellement|expres, intentionnellement|absichtlich, unbedingt|absichtlich, unbedingt|purposely, on purpose|purposely, on purpose|a propósito, expresamente|a proposito, expresamente|di proposito, apposta, espressamente|di proposito, apposta, espressamente|de propósito, expressamente|de proposito, expressamente|null|null
47|absolut=onbedéngt=ganz a guer|absolut=onbedengt=ganz a guer|absolu, absolument|absolu, absolument|durchaus, unumschränkt, absolut|durchaus, unumschrankt, absolut|absolute, absolutely|absolute, absolutely|absoluto, absolutamente|absoluto, absolutamente|assolutamente|assolutamente|absolutamente|absolutamente|null|null
49|absurd=verréckt=onsënneg|absurd=verreckt=onsenneg|absurde, aberrant|absurde, aberrant|unsinnig, absurd|unsinnig, absurd|absurd|absurd|absurdo|absurdo|assurdo|assurdo|absurdo|absurdo|null|null
50|Abus=Mëssbrauch, Abusen|abus=messbrauch, abusen|abus|abus|Missbrauch|missbrauch|misuse|misuse|abuso|abuso|abuso|abuso|abuso|abuso|null|null
53|accentuéieren=betounen, en accentuéiert|accentueieren=betounen, en accentueiert|accentuer|accentuer|betonen|betonen|to emphasize|to emphasize|acentuar|acentuar|accentare, porre l’accento|accentare, porre l’accento|acentuar|acentuar|accentuéieren|null
52|Accent=Betounung, Accenten|accent=betounung, accenten|accent|accent|Akzent, Betonung|akzent, betonung|accent, emphasis|accent, emphasis|acento, tilde|acento, tilde|accento, accentazione|accento, accentazione|acento, acentuação|acento, acentuação|null|null
54|acceptéieren=unhuelen, en acceptéiert|accepteieren=unhuelen, en accepteiert|accepter|accepter|annehmen|annehmen|to accept|to accept|aceptar|aceptar|accettare|accettare|aceitar, admitir|aceitar, admitir|acceptéieren|null
